RLV Sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lng_LS=,143.456784,latg_LS=,42.504038,g0=,9.806650135,GM=,3.98601E+14,Re=,6378.142,Rp=,6356.757,Omega=,0.004178075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp
,257,165.0230223,289.0626153,146.8802616,41.95160819,156.175604,39.79653598,183.3586319,-5827.051908,43.05396976,284.9294035,40.86108306,177.7344843,3151.437384,12.11483877,101.575389,4048.678032,60300,60300,14.13228661,100.910669,3.183625743,-0.135179009,0.316401081,-0.848070331,0.402981023,14.89375039,0.003798757,2.162999008,0.406290381,2.124569427,0.008216708,4.118196515,2812.903231,2812.903231,0,-0.215167417,8.45259E-05,-3.682291083,-2.258200029,-11.42707955,26.84694403,24.42616803,40.34015621,4048.678032,-114.6405199,1005.531808,1.529840155,240.3981252,0,4778.063952,4423.018457,103.8,3175.200536
,258,165.6802743,291.7343309,146.9116499,41.94614666,156.2526083,39.77600065,183.7126378,-5821.420794,43.05333811,284.9533901,40.86519677,177.734573,3164.408908,11.98573029,101.5961993,4030.751243,60300,60300,13.94452562,100.9220546,3.180334365,-0.136771481,0.31715657,-0.847815246,0.40238611,14.95999043,0.003742483,2.160151277,0.369595809,2.128357026,0.008084329,4.12519638,2825.648731,2825.648731,0,-0.215167417,8.45259E-05,-3.675464588,-2.23798786,-11.41354733,26.71953872,24.3362756,40.14241726,4030.751243,-114.6405199,1007.473995,1.540461179,240.3981252,0,4792.990773,4437.945278,103.8,3157.273746
,259,166.3332544,294.4195882,146.9431926,41.94065106,156.3299266,39.75532969,184.0626069,-5815.723785,43.05269483,284.977351,40.86937799,177.7347599,3177.468343,11.85710297,101.6170624,4012.824453,60300,60300,13.75688576,100.9335627,3.177081465,-0.138363469,0.317910942,-0.847557171,0.401789778,15.0268223,0.003688211,2.157751341,0.332347766,2.132050562,0.007958242,4.132399212,2838.485032,2838.485032,0,-0.215167417,8.45259E-05,-3.668869537,-2.217959128,-11.40008801,26.5921732,24.24577931,39.94269243,4012.824453,-114.6405199,1009.395253,1.55110364,240.3981252,0,4807.98413,4452.938635,103.8,3139.346957
,260,166.9819461,297.1184615,146.9748905,41.93512114,156.4075602,39.73452205,184.4085276,-5809.959948,43.05203996,285.0012849,40.87362634,177.7350473,3190.616198,11.72895597,101.637979,3994.897664,60300,60300,13.56936771,100.9451934,3.173866819,-0.139954971,0.318664192,-0.847296107,0.40119203,15.09425399,0.003635865,2.155829802,0.294548462,2.135650708,0.007838306,4.139803926,2851.412618,2851.412618,0,-0.215167417,8.45259E-05,-3.662506651,-2.198114975,-11.38670202,26.46484776,24.15469202,39.74109951,3994.897664,-114.6405199,1011.29566,1.561772343,240.3981252,0,4823.044618,4467.999123,103.8,3121.420168
,261,167.6263328,299.8310259,147.0067443,41.92955665,156.4855103,39.71357668,184.7503885,-5804.128335,43.05137348,285.0251905,40.87794143,177.7354374,3203.85299,11.6012884,101.6589499,3976.970875,60300,60300,13.38197215,100.9569472,3.170690208,-0.141545978,0.319416319,-0.847032057,0.400592867,15.16229359,0.003585372,2.154417358,0.256200172,2.139158137,0.007724387,4.14740951,2864.431984,2864.431984,0,-0.215167417,8.45259E-05,-3.656376655,-2.178456556,-11.37338978,26.33756267,24.06302633,39.5377524,3976.970875,-114.6405199,1013.175293,1.572472447,240.3981252,0,4838.172841,4483.127346,103.8,3103.493379
,262,168.2663975,302.5573569,147.0387549,41.92395735,156.5637781,39.69249252,185.0881782,-5798.227979,43.05069543,285.0490665,40.88232291,177.7359324,3217.179244,11.47409933,101.6799758,3959.044086,60300,60300,13.19469977,100.968824,3.167551414,-0.143136487,0.32016732,-0.84676502,0.399992292,15.23094936,0.003536661,2.153544719,0.217305228,2.142573518,0.007616358,4.155215018,2877.543632,2877.543632,0,-0.215167417,8.45259E-05,-3.650480279,-2.158985036,-11.36015172,26.2103182,23.97079455,39.33276117,3959.044086,-114.6405199,1015.03423,1.583209476,240.3981252,0,4853.36941,4498.323915,103.8,3085.56659
,263,168.9021233,305.2975307,147.0709231,41.91832298,156.6423651,39.67126848,185.4218854,-5792.257897,43.05000582,285.0729114,40.88677039,177.7365348,3230.595492,11.34738781,101.7010576,3941.117297,60300,60300,13.00755126,100.9808242,3.164450221,-0.144726491,0.320917192,-0.846494998,0.399390307,15.30022972,0.003489668,2.153242523,0.177866022,2.14589752,0.007514101,4.163219569,2890.748071,2890.748071,0,-0.215167417,8.45259E-05,-3.644818254,-2.139701592,-11.34698829,26.08311464,23.8780087,39.12623211,3941.117297,-114.6405199,1016.872549,1.593989329,240.3981252,0,4868.634948,4513.589453,103.8,3067.639801
,264,169.5334929,308.0516239,147.1032496,41.91265328,156.7212725,39.64990347,185.7514988,-5786.217084,43.04930465,285.0967238,40.89128353,177.737247,3244.102275,11.22115283,101.7221958,3923.190508,60300,60300,12.82052732,100.992948,3.161386417,-0.146315984,0.321665933,-0.846221991,0.398786914,15.37014322,0.003444328,2.153541243,0.137885003,2.149130814,0.007417503,4.171422349,2904.045819,2904.045819,0,-0.215167417,8.45259E-05,-3.639391318,-2.120607412,-11.33389993,25.95595225,23.78468057,38.91826781,3923.190508,-114.6405199,1018.690328,1.604818287,240.3981252,0,4883.970081,4528.924586,103.8,3049.713012
,265,170.1604889,310.8197137,147.1357354,41.906948,156.8005015,39.62839639,186.0770073,-5780.104518,43.04859193,285.1205022,40.89586195,177.7380714,3257.700141,11.09539339,101.7433914,3905.263719,60300,60300,12.63362865,101.0051956,3.158359791,-0.147904962,0.322413539,-0.845946,0.398182114,15.44069859,0.003401873,2.154471096,0.097364676,2.152274064,0.007329238,4.180648655,2917.437403,2917.437403,0,-0.215167417,8.45259E-05,-3.634200212,-2.101703698,-11.32088708,25.82883128,23.69082168,38.70896718,3905.263719,-114.6405199,1020.487642,1.615703024,240.3981252,0,4899.375448,4544.329953,103.8,3031.786222
,266,170.7830937,313.6018781,147.1683813,41.90120688,156.8800536,39.60674611,186.3983998,-5773.919157,43.04786768,285.144245,40.9005053,177.7390105,3271.389649,10.9701084,101.7646451,3887.336929,60300,60300,12.44685597,101.0175672,3.155370136,-0.149493419,0.323160009,-0.845667027,0.397575911,15.5119047,0.003364675,2.15606194,0.056307604,2.155327938,0.007254449,4.192419638,2930.923356,2930.923356,0,-0.215167417,8.45259E-05,-3.629245679,-2.082991662,-11.3079502,25.701752,23.59644329,38.49842559,3887.336929,-114.6405199,1022.264571,1.626650619,240.3981252,0,4914.851695,4559.8062,103.8,3013.859433
,267,171.4012897,316.3981953,147.201188,41.89542965,156.9599302,39.58495152,186.7156655,-5767.659939,43.04713191,285.1679505,40.90521324,177.7400671,3285.171364,10.84529679,101.7859575,3869.41014,60300,60300,12.26020998,101.0300632,3.152417247,-0.151081348,0.32390534,-0.845385073,0.396968306,15.5837706,0.003328686,2.158343175,0.014716401,2.158293098,0.007184447,4.20435216,2944.504223,2944.504223,0,-0.215167417,8.45259E-05,-3.624528469,-2.064472528,-11.29508975,25.57471465,23.50155643,38.28673489,3869.41014,-114.6405199,1024.021191,1.637668561,240.3981252,0,4930.399477,4575.353982,103.8,2995.932644
,268,172.0150588,319.2087444,147.2341565,41.88961604,157.0401325,39.56301146,187.0287935,-5761.325783,43.04638463,285.1916172,40.90998543,177.7412436,3299.04586,10.72095743,101.8073295,3851.483351,60300,60300,12.0736914,101.0426837,3.149500919,-0.152668744,0.324649528,-0.845100138,0.396359301,15.65630551,0.003293869,2.161343642,-0.027406263,2.161170206,0.007119183,4.216446547,2958.180556,2958.180556,0,-0.215167417,8.45259E-05,-3.620049333,-2.046147533,-11.2823062,25.44771948,23.40617187,38.07398348,3851.483351,-114.6405199,1025.757579,1.648764763,240.3981252,0,4946.019459,4590.973964,103.8,2978.005855
,269,172.624383,322.0336051,147.2672876,41.8837658,157.120662,39.54092478,187.337773,-5754.915583,43.04562584,285.2152432,40.91482151,177.7425428,3313.013722,10.59708916,101.8287618,3833.556562,60300,60300,11.88730096,101.0554291,3.146620954,-0.154255603,0.325392572,-0.844812223,0.395748899,15.7295188,0.00326019,2.16509152,-0.070057667,2.163959921,0.007058611,4.22870316,2971.952916,2971.952916,0,-0.215167417,8.45259E-05,-3.615809028,-2.028017926,-11.26960002,25.32076673,23.31030015,37.86025646,3833.556562,-114.6405199,1027.473812,1.659947568,240.3981252,0,4961.712314,4606.666819,103.8,2960.079066
,270,173.2292439,324.8728575,147.3005822,41.87787864,157.2015202,39.51869031,187.6425935,-5748.428216,43.04485556,285.2388268,40.91972116,177.7439675,3327.075542,10.47369079,101.8502552,3815.629773,60300,60300,11.70103938,101.0682995,3.143777151,-0.155841917,0.326134468,-0.84452133,0.395137102,15.80342004,0.003227617,2.169614222,-0.113235038,2.166662902,0.007002685,4.24112239,2985.821873,2985.821873,0,-0.215167417,8.45259E-05,-3.611808314,-2.010084967,-11.25697169,25.19385662,23.21395159,37.64563561,3815.629773,-114.6405199,1029.169968,1.671225763,240.3981252,0,4977.478726,4622.433231,103.8,2942.152277
,271,173.8296231,327.7265825,147.334041,41.8719543,157.2827084,39.49630685,187.9432444,-5741.862534,43.04407378,285.262366,40.92468404,177.7455206,3341.231922,10.35076112,101.8718104,3797.702984,60300,60300,11.51490741,101.0812953,3.140969317,-0.157427682,0.326875215,-0.844227459,0.394523911,15.87801897,0.003196119,2.174938295,-0.156935553,2.169279801,0.006951361,4.253704657,2999.788007,2999.788007,0,-0.215167417,8.45259E-05,-3.608047957,-1.992349929,-11.24442169,25.06698938,23.11713628,37.43019955,3797.702984,-114.6405199,1030.846122,1.682608588,240.3981252,0,4993.319387,4638.273892,103.8,2924.225487
,272,174.4255019,330.5948616,147.367665,41.86599249,157.3642281,39.47377321,188.2397153,-5735.217366,43.04328052,285.2858589,40.92970983,177.7472049,3355.483474,10.22829888,101.8934281,3779.776194,60300,60300,11.32890578,101.0944167,3.138197255,-0.159012892,0.327614809,-0.843930612,0.393909329,15.95332551,0.003165664,2.181089318,-0.20115634,2.171811273,0.006904596,4.266450415,3013.851908,3013.851908,0,-0.215167417,8.45259E-05,-3.604528723,-1.974814099,-11.23195051,24.94016523,23.01986407,37.2140238,3779.776194,-114.6405199,1032.502352,1.694105744,240.3981252,0,5009.235,4654.189505,103.8,2906.298698
,273,175.0168613,333.4777768,147.4014551,41.85999294,157.4460809,39.45108817,188.5319961,-5728.49152,43.04247578,285.3093035,40.93479821,177.7490235,3369.830818,10.1063028,101.9151092,3761.849405,60300,60300,11.14303524,101.107664,3.135460776,-0.160597541,0.328353248,-0.843630789,0.393293359,16.0293498,0.003136225,2.188091813,-0.245894478,2.174257965,0.006862348,4.279360148,3028.014175,3028.014175,0,-0.215167417,8.45259E-05,-3.601251388,-1.957478774,-11.21955866,24.81338436,22.92214463,36.99718083,3761.849405,-114.6405199,1034.138734,1.705727406,240.3981252,0,5025.226277,4670.180782,103.8,2888.371909
,274,175.6036823,336.375411,147.4354122,41.85395537,157.5282682,39.4282505,188.8200767,-5721.683779,43.04165958,285.3326976,40.93994887,177.7509794,3384.274585,9.984771578,101.9368544,3743.922616,60300,60300,10.95729654,101.1210374,3.13275969,-0.162181625,0.32909053,-0.843327992,0.392676002,16.10610212,0.003107773,2.195969146,-0.291146999,2.176620525,0.006824574,4.29243437,3042.275416,3042.275416,0,-0.215167417,8.45259E-05,-3.598216726,-1.940345264,-11.20724662,24.68664698,22.82398739,36.77974019,3743.922616,-114.6405199,1035.755344,1.717484234,240.3981252,0,5041.293942,4686.248447,103.8,2870.44512
,275,176.1859457,339.2878476,147.469537,41.84787949,157.6107915,39.40525895,189.1039471,-5714.792901,43.0408319,285.3560392,40.94516148,177.7530757,3398.815417,9.86370388,101.9586644,3725.995827,60300,60300,10.77169043,101.1345374,3.13009381,-0.163765136,0.329826651,-0.843022221,0.392057261,16.183593,0.003080283,2.204743449,-0.336910888,2.178899596,0.006791234,4.305673628,3056.636251,3056.636251,0,-0.215167417,8.45259E-05,-3.59542552,-1.923414893,-11.19501492,24.55995329,22.72540158,36.56176859,3725.995827,-114.6405199,1037.352259,1.729387381,240.3981252,0,5057.438728,4702.393233,103.8,2852.518331
,276,176.763632,342.2151706,147.5038306,41.84176501,157.6936524,39.38211226,189.3835976,-5707.81762,43.03999276,285.379326,40.95043575,177.7553158,3413.453965,9.743098343,101.9805399,3708.069038,60300,60300,10.58621769,101.1481642,3.12746295,-0.16534807,0.330561609,-0.842713478,0.391437137,16.26183315,0.003053729,2.214435537,-0.383183085,2.181095817,0.006762287,4.319078501,3071.097309,3071.097309,0,-0.215167417,8.45259E-05,-3.592878555,-1.906688996,-11.18286407,24.43330345,22.62639623,36.34332992,3708.069038,-114.6405199,1038.929555,1.741448504,240.3981252,0,5073.661378,4718.615883,103.8,2834.591542
,277,177.3367214,345.157465,147.5382938,41.83561165,157.7768525,39.35880915,189.6590185,-5700.756642,43.03914216,285.4025556,40.95577137,177.7577029,3428.190889,9.622953576,102.0024818,3690.142249,60300,60300,10.40087908,101.161918,3.124866928,-0.166930421,0.331295402,-0.842401764,0.390815633,16.34083348,0.003028088,2.225064839,-0.429960484,2.183209826,0.006737692,4.332649596,3085.65923,3085.65923,0,-0.215167417,8.45259E-05,-3.590576621,-1.890168923,-11.17079458,24.30669765,22.52698018,36.12448542,3690.142249,-114.6405199,1040.487307,1.753679778,240.3981252,0,5089.962647,4734.917152,103.8,2816.664753
,278,177.9051941,348.114816,147.5729275,41.8294191,157.8603933,39.33534832,189.9302005,-5693.608649,43.03828009,285.4257256,40.96116804,177.7602403,3443.026863,9.503268163,102.0244908,3672.21546,60300,60300,10.21567538,101.1757993,3.122305563,-0.168512183,0.332028026,-0.84208708,0.390192751,16.42060513,0.003003335,2.236649337,-0.477239937,2.185242255,0.006717407,4.346387557,3100.322666,3100.322666,0,-0.215167417,8.45259E-05,-3.588520511,-1.873856033,-11.15880699,24.18013605,22.42716206,35.90529371,3672.21546,-114.6405199,1042.025591,1.766093904,240.3981252,0,5106.343302,4751.297807,103.8,2798.737963
,279,178.46903,351.08731,147.6077327,41.82318707,157.9442766,39.31172847,190.1971343,-5686.372296,43.03740657,285.4488335,40.96662548,177.7629317,3457.962569,9.38404066,102.0465677,3654.28867,60300,60300,10.03060737,101.1898082,3.119778676,-0.170093351,0.332759481,-0.841769427,0.389568494,16.50115944,0.002979449,2.249205509,-0.525018251,2.187193734,0.006701393,4.360293055,3115.088278,3115.088278,0,-0.215167417,8.45259E-05,-3.586711025,-1.857751703,-11.14690183,24.0536188,22.32695033,35.68581089,3654.28867,-114.6405199,1043.544484,1.778704123,240.3981252,0,5122.804119,4767.758624,103.8,2780.811174
,280,179.0282089,354.0750337,147.6427102,41.81691527,158.0285039,39.28794825,190.4598109,-5679.046208,43.0365216,285.4718769,40.97214339,177.7657805,3472.998701,9.265269598,102.0687132,3636.361881,60300,60300,9.845675844,101.2039452,3.117286091,-0.17167392,0.333489761,-0.841448806,0.388942863,16.582508,0.002956409,2.262748291,-0.573292192,2.189064889,0.006689609,4.374366796,3129.956738,3129.956738,0,-0.215167417,8.45259E-05,-3.585148965,-1.841857319,-11.13507965,23.92714603,22.22635324,35.46609059,3636.361881,-114.6405199,1045.044059,1.791524222,240.3981252,0,5139.345886,4784.300391,103.8,2762.884385
,281,179.5827101,357.0780747,147.6778611,41.81060339,158.113077,39.26400633,190.7182214,-5671.628982,43.03562516,285.4948528,40.9777215,177.7687904,3488.135964,9.146953481,102.090928,3618.435092,60300,60300,9.66088159,101.2182105,3.114827632,-0.173253883,0.334218867,-0.841125219,0.38831586,16.66466261,0.002934194,2.277291038,-0.622058483,2.190856341,0.006682014,4.388609517,3144.928731,3144.928731,0,-0.215167417,8.45259E-05,-3.58383514,-1.826174282,-11.12334099,23.80071789,22.12537889,35.2461841,3618.435092,-114.6405199,1046.524393,1.804568553,240.3981252,0,5155.969403,4800.923908,103.8,2744.957596
,282,180.132513,360.0965215,147.7131861,41.80425112,158.1979975,39.23990133,190.9723572,-5664.119187,43.03471727,285.5177587,40.98335952,177.7719652,3503.375076,9.029090788,102.1132129,3600.508303,60300,60300,9.476225412,101.2326045,3.112403128,-0.174833236,0.334946793,-0.840798666,0.387687489,16.74763531,0.002912785,2.292845505,-0.671313809,2.192568707,0.006678566,4.403021989,3160.004954,3160.004954,0,-0.215167417,8.45259E-05,-3.58277036,-1.810704007,-11.1116864,23.6743345,22.02403516,35.0261404,3600.508303,-114.6405199,1047.98556,1.817852037,240.3981252,0,5172.675484,4817.629989,103.8,2727.030807
,283,180.6775966,363.1304631,147.7486864,41.79785815,158.2832672,39.21563188,191.22221,-5656.51536,43.03379791,285.5405916,40.98905718,177.7753088,3518.716765,8.911679974,102.1355688,3582.581514,60300,60300,9.29170812,101.2471276,3.110012407,-0.176411972,0.335673539,-0.840469148,0.387057751,16.83143838,0.002892164,2.309421837,-0.721054812,2.194202602,0.006679226,4.417605014,3175.186113,3175.186113,0,-0.215167417,8.45259E-05,-3.581955443,-1.795447919,-11.10011646,23.54799596,21.92232979,34.80600627,3582.581514,-114.6405199,1049.427636,1.831390182,240.3981252,0,5189.464951,4834.419456,103.8,2709.104018
,284,181.2179398,366.1799893,147.7843627,41.79142418,158.3688879,39.19119656,191.4677716,-5648.81601,43.03286709,285.5633486,40.99481422,177.7788251,3534.161771,8.794719467,102.1579962,3564.654725,60300,60300,9.107330527,101.26178,3.107655301,-0.177990086,0.336399101,-0.840136667,0.386426648,16.91608435,0.002872312,2.327028559,-0.771278097,2.195758633,0.006683953,4.432359428,3190.472929,3190.472929,0,-0.215167417,8.45259E-05,-3.581391209,-1.78040746,-11.08863172,23.42170237,21.82027034,34.58582633,3564.654725,-114.6405199,1050.850693,1.845199092,240.3981252,0,5206.338641,4851.293146,103.8,2691.177228
,285,181.7535212,369.2451907,147.8202162,41.78494888,158.4548613,39.16659396,191.7090341,-5641.01961,43.03192481,285.5860266,41.00063038,177.7825183,3549.710847,8.678207674,102.1804961,3546.727935,60300,60300,8.923093457,101.2765621,3.105331642,-0.179567572,0.337123478,-0.839801224,0.385794183,17.001586,0.002853214,2.345672596,-0.82198023,2.197237405,0.006692705,4.447286099,3205.866135,3205.866135,0,-0.215167417,8.45259E-05,-3.581078486,-1.765584084,-11.07723277,23.29545383,21.7178642,34.36564317,3546.727935,-114.6405199,1052.254808,1.859295477,240.3981252,0,5223.297405,4868.25191,103.8,2673.250439
,286,182.2843192,372.3261587,147.8562477,41.77843194,158.5411893,39.14182262,191.9459899,-5633.124602,43.03097105,285.6086223,41.00650539,177.7863924,3565.364759,8.562142976,102.2030691,3528.801146,60300,60300,8.738997738,101.2914744,3.103041265,-0.181144426,0.337846665,-0.839462821,0.385160357,17.08795636,0.002834852,2.36535928,-0.873157738,2.198639519,0.006705444,4.462385931,3221.366474,3221.366474,0,-0.215167417,8.45259E-05,-3.581018103,-1.750979258,-11.06592019,23.16925041,21.61511859,34.14549736,3528.801146,-114.6405199,1053.640054,1.87369667,240.3981252,0,5240.342103,4885.296608,103.8,2655.32365
,287,182.8103118,375.4229855,147.8924582,41.77187304,158.6278737,39.1168811,192.1786317,-5625.129397,43.03000582,285.6311326,41.012439,177.7904519,3581.124284,8.446523731,102.2257161,3510.874357,60300,60300,8.555044206,101.3065171,3.100784007,-0.18272064,0.338568662,-0.839121457,0.384525174,17.17520876,0.002817212,2.386092386,-0.924807111,2.199965568,0.006722127,4.477659859,3236.974705,3236.974705,0,-0.215167417,8.45259E-05,-3.581210897,-1.736594465,-11.05469457,23.04309216,21.51204058,33.92542756,3510.874357,-114.6405199,1055.006505,1.888420636,240.3981252,0,5257.473611,4902.428116,103.8,2637.396861
,288,183.3314771,378.5357641,147.9288487,41.76527184,158.7149164,39.09176789,192.4069524,-5617.032367,43.0290291,285.6535539,41.01843096,177.7947012,3596.990214,8.331348275,102.2484377,3492.947568,60300,60300,8.371233705,101.3216906,3.098559708,-0.184296211,0.339289465,-0.838777135,0.383888634,17.26335676,0.002800278,2.407874165,-0.976924805,2.201216144,0.006742717,4.493108855,3252.691599,3252.691599,0,-0.215167417,8.45259E-05,-3.581657707,-1.722431198,-11.0435565,22.91697915,21.40863708,33.70547055,3492.947568,-114.6405199,1056.354235,1.903485986,240.3981252,0,5274.692819,4919.647324,103.8,2619.470072
,289,183.8477927,381.6645882,147.9654203,41.75862802,158.8023194,39.0664815,192.6309453,-5608.831852,43.02804089,285.6758828,41.02448104,177.7991447,3612.963352,8.216614919,102.2712348,3475.020779,60300,60300,8.187567085,101.3369953,3.096368206,-0.185871132,0.340009071,-0.838429856,0.383250742,17.35241423,0.002784037,2.430705391,-1.029507237,2.202391832,0.006767173,4.508733924,3268.517941,3268.517941,0,-0.215167417,8.45259E-05,-3.58235938,-1.708490969,-11.0325066,22.79091141,21.30491485,33.48566136,3475.020779,-114.6405199,1057.683316,1.91891199,240.3981252,0,5292.000628,4936.955133,103.8,2601.543283
,290,184.3592361,384.8095525,148.0021738,41.75194126,158.8900846,39.04102041,192.8506039,-5600.526154,43.02704119,285.6981156,41.03058899,177.8037873,3629.044516,8.102321953,102.2941081,3457.09399,60300,60300,8.004045204,101.3524315,3.094209344,-0.187445397,0.340727479,-0.83807962,0.382611498,17.44239531,0.002768475,2.454585408,-1.082550791,2.203493211,0.006795457,4.524536105,3284.454527,3284.454527,0,-0.215167417,8.45259E-05,-3.583316766,-1.694775298,-11.02154548,22.66488897,21.20088048,33.26603326,3457.09399,-114.6405199,1058.993823,1.934718588,240.3981252,0,5309.397955,4954.35246,103.8,2583.616494
,291,184.8657846,387.9707524,148.0391103,41.7452112,158.978214,39.01538305,193.0659222,-5592.113537,43.02602998,285.7202484,41.03675458,177.8086337,3645.234539,7.988467646,102.3170584,3439.167201,60300,60300,7.820668928,101.3679998,3.092082966,-0.189019002,0.341444686,-0.83772643,0.381970905,17.53331446,0.002753579,2.479512193,-1.136051815,2.204520857,0.006827533,4.540516475,3300.502171,3300.502171,0,-0.215167417,8.45259E-05,-3.584530721,-1.681285725,-11.01067375,22.53891183,21.09654042,33.0466179,3439.167201,-114.6405199,1060.285828,1.950926406,240.3981252,0,5326.885731,4971.840236,103.8,2565.689704
,292,185.3674149,391.1482843,148.0762308,41.73843751,159.0667096,38.98956785,193.2768946,-5583.592226,43.02500725,285.7422774,41.04297759,177.8136888,3661.534265,7.875050244,102.3400864,3421.240411,60300,60300,7.63743913,101.3837004,3.089988918,-0.19059194,0.342160688,-0.837370286,0.381328965,17.62518641,0.002739338,2.505482418,-1.190006623,2.205475339,0.006863363,4.556676145,3316.661698,3316.661698,0,-0.215167417,8.45259E-05,-3.586002105,-1.668023799,-10.99989205,22.41298001,20.991901,32.8274453,3421.240411,-114.6405199,1061.559404,1.967556766,240.3981252,0,5344.464902,4989.419407,103.8,2547.762915
,293,185.864104,394.3422453,148.1135364,41.73161985,159.1555734,38.96357323,193.4835156,-5574.96041,43.023973,285.7641985,41.0492578,177.8189579,3677.944554,7.762067971,102.3631929,3403.313622,60300,60300,7.45435669,101.3995337,3.087927047,-0.192164206,0.342875485,-0.83701119,0.380685681,17.71802622,0.00272574,2.532491515,-1.244411496,2.206357222,0.006902913,4.573016262,3332.933949,3332.933949,0,-0.215167417,8.45259E-05,-3.587731785,-1.654991088,-10.98920102,22.28709347,20.88696837,32.60854395,3403.313622,-114.6405199,1062.814623,1.984631703,240.3981252,0,5362.136427,5007.090932,103.8,2529.836126
,294,186.3558282,397.5527336,148.151028,41.72475788,159.2448077,38.93739755,193.6857803,-5566.216231,43.0229272,285.7860075,41.05559497,177.8244461,3694.466283,7.64951903,102.3863787,3385.386833,60300,60300,7.271422498,101.4155003,3.085897201,-0.193735794,0.343589072,-0.836649143,0.380041055,17.81184927,0.002712773,2.560533752,-1.299262681,2.207167063,0.006946148,4.589538011,3349.31978,3349.31978,0,-0.215167417,8.45259E-05,-3.589720631,-1.64218917,-10.97860129,22.1612522,20.78174855,32.38994087,3385.386833,-114.6405199,1064.051558,2.002173978,240.3981252,0,5379.901282,5024.855787,103.8,2511.909337
,295,186.8425637,400.7798482,148.1887068,41.71785123,159.3344146,38.91103918,193.8836843,-5557.357795,43.02186986,285.8076999,41.06198892,177.8301589,3711.100339,7.537401604,102.4096446,3367.460044,60300,60300,7.088637451,101.4316004,3.083899232,-0.1953067,0.344301448,-0.836284146,0.379395088,17.90667126,0.002700428,2.589602301,-1.354556393,2.207905416,0.006993036,4.606242613,3365.820062,3365.820062,0,-0.215167417,8.45259E-05,-3.591969522,-1.629619642,-10.96809352,22.03545616,20.67624744,32.17166165,3367.460044,-114.6405199,1065.27028,2.02020709,240.3981252,0,5397.760458,5042.714963,103.8,2493.982548
,296,187.3242866,404.0236889,148.2265737,41.71089955,159.4243961,38.88449644,194.0772235,-5548.38316,43.02080095,285.8292714,41.06843942,177.8361017,3727.84763,7.425713855,102.4329913,3349.533255,60300,60300,6.906002454,101.4478346,3.081932992,-0.196876917,0.34501261,-0.835916201,0.378747784,18.00250823,0.002688695,2.61968932,-1.410288816,2.208572829,0.007043547,4.623131326,3382.435682,3382.435682,0,-0.215167417,8.45259E-05,-3.594479338,-1.617284111,-10.95767837,21.90970527,20.57047079,31.95373051,3349.533255,-114.6405199,1066.47086,2.038755293,240.3981252,0,5415.714963,5060.669468,103.8,2476.055759
,297,187.8009725,407.2843565,148.2646299,41.7039025,159.5147546,38.85776765,194.2663942,-5539.290342,43.01972046,285.8507172,41.07494628,177.8422805,3744.709075,7.314453923,102.4564197,3331.606466,60300,60300,6.72351842,101.4642032,3.079998333,-0.19844644,0.345722556,-0.835545308,0.378099145,18.09937657,0.002677565,2.650786024,-1.4664561,2.209169843,0.007097651,4.640205449,3399.167541,3399.167541,0,-0.215167417,8.45259E-05,-3.597250969,-1.605184202,-10.94735651,21.78399948,20.46442422,31.73617034,3331.606466,-114.6405199,1067.653371,2.057843607,240.3981252,0,5433.765819,5078.720324,103.8,2458.128969
,298,188.2725968,410.5619529,148.3028763,41.69685969,159.6054923,38.83085106,194.4511934,-5530.077311,43.01862837,285.8720324,41.0815093,177.848701,3761.685611,7.203619932,102.4799303,3313.679676,60300,60300,6.541186272,101.4807066,3.078095113,-0.200015263,0.346431282,-0.835171469,0.377449173,18.19729301,0.002667028,2.682882765,-1.523054365,2.209696992,0.007155322,4.657466315,3416.016558,3416.016558,0,-0.215167417,8.45259E-05,-3.600285306,-1.593321554,-10.93712862,21.65833869,20.35811322,31.5190028,3313.679676,-114.6405199,1068.817883,2.077497837,240.3981252,0,5451.914065,5096.86857,103.8,2440.20218
