RLV Sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lng_LS=,143.456784,latg_LS=,42.504038,g0=,9.806650135,GM=,3.98601E+14,Re=,6378.142,Rp=,6356.757,Omega=,0.004178075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp
,16,0.412237662,0.002563521,143.4568121,42.50403567,143.4570686,42.50403424,-9.184841907,-6372.087072,42.3124083,270.0097721,53.5312376,179.9846253,348.2141129,8.025284923,89.9948998,28341.23715,495000,383866.5177,87.90172187,89.94621606,-5.102397125,0.43737598,0.026770965,-0.737628687,0.51370175,13.51323127,1392.23364,0.485327445,-0.485252214,0.00854548,675.6891955,0.143585246,48.63351448,48.63351448,0,-0.359322933,0,-7.765432567,-7.725579129,-14.55891242,1.229701313,-0.371543348,-0.771696274,28341.23715,-0.148701988,10.30253558,0.003273934,61.81761918,0,267.4534993,205.4862093,19248.75965,4683
,17,0.462717921,0.004094915,143.4568319,42.50403427,143.4572123,42.50402669,-9.115064221,-6372.068126,42.31240818,270.017592,53.52649877,179.983414,349.2868649,8.621827109,90.00091577,28179.97212,495000,384536.1624,87.54671907,90.69556458,-4.356458966,0.435060863,0.028381638,-0.738996531,0.51361528,13.60945681,1608.14795,0.372460099,-0.372349316,0.00908386,598.9709438,0.1547851,52.39686369,52.39686369,0,-0.359322933,0,-7.763773614,-7.723902783,-14.5580342,1.421894981,-0.347750198,-0.756947565,28179.97212,-0.182403633,11.72411524,0.003660967,65.73824853,0,284.9690957,219.047362,19087.49463,4683
,18,0.516992918,0.006239836,143.4568587,42.5040324,143.4573959,42.50401663,-9.039520234,-6372.046032,42.31240857,270.0268194,53.519915,179.9821646,350.4993203,9.227496485,90.00817841,28018.7071,495000,385252.4854,87.19141064,91.25620561,-3.799231385,0.432741468,0.029992031,-0.740357109,0.513523759,13.70799598,1844.343083,0.236846887,-0.236651114,0.009628084,436.8269178,0.166302862,56.26095211,56.26095211,0,-0.359322933,0,-7.761991249,-7.722100399,-14.55708969,1.628399083,-0.322169081,-0.741088105,28018.7071,-0.221410426,13.24754192,0.003859948,69.65677285,0,302.5852164,232.7058941,18926.22961,4683
,19,0.575157409,0.009071282,143.4568936,42.50402997,143.4576247,42.50400371,-8.957993639,-6372.020729,42.31240993,270.0374659,53.51147434,179.9808754,351.8551587,9.841786481,90.01669652,27857.44208,495000,386015.9486,86.83590207,91.69162118,-3.367233093,0.430417819,0.031602129,-0.741710407,0.513427189,13.80888407,2101.759202,0.084472559,-0.083857095,0.010178461,177.5409772,0.178150161,60.22893172,60.22893172,0,-0.359322933,0,-7.760082605,-7.720168828,-14.5560772,1.849518891,-0.294755507,-0.72408972,27857.44208,-0.266255638,14.87414234,0.003919149,73.5714734,0,320.303022,246.4641369,18764.96458,4683
TGTS,20,0.63730793,0.012671321,143.4569378,42.50402693,143.4579043,42.50398755,-8.870260548,-6371.992148,42.31241281,270.0495411,53.50116699,179.9795445,353.3581095,10.46416053,90.02647741,27696.17706,495000,386826.9582,86.48025665,92.03971582,-3.022560294,0.428089937,0.033211916,-0.743056413,0.513325571,13.91215509,2381.341953,0.08221363,0.081509744,0.010735126,195.7787656,0.190338909,64.30398981,64.30398981,0,-0.359322933,0,-7.758044759,-7.718104859,-14.55499499,2.085553816,-0.265464177,-0.705923667,27696.17706,-0.317503224,16.60513524,0.003924353,77.48057593,0,338.1236932,260.3244565,18603.69956,4683
,20,0.63730793,0.012671321,143.4569378,42.50402693,143.4579043,42.50398755,-8.870260548,-6371.992148,42.31241281,270.0495411,53.50116699,179.9795445,353.3581095,10.46416053,90.02647741,27696.17706,495000,386826.9582,86.39939507,92.27885453,-2.783890664,0.427513199,0.033507401,-0.743363871,0.513341869,13.91215509,2381.341953,3.26294E-15,-7.9138E-16,-3.16552E-15,7.77018E-12,0.190338909,64.30398981,64.30398981,0,0,0,-7.758044759,-7.718104859,-14.55499499,2.085553816,-0.265464177,-0.705923667,27696.17706,-0.317503224,16.60513524,0.003924353,77.48057593,0,338.1236932,260.3244565,18603.69956,4683
,21,0.703541633,0.017144813,143.4569924,42.50402317,143.4582517,42.50396643,-8.776111056,-6371.958648,42.31241865,270.0642995,53.48730312,179.9781683,355.0547395,11.09220961,90.03865954,27534.91204,495000,387685.8464,85.83217865,92.707047,-2.359632431,0.423789783,0.036044849,-0.745486529,0.513179133,14.01784069,2684.056636,1.11452E-14,1.11452E-14,0,2.99145E-11,0.202882016,68.48958706,68.48958706,0,0,0,-7.755874818,-7.715905256,-14.5538413,2.33678847,-0.234249547,-0.686560895,27534.91204,-0.375748997,18.44150302,0.003924353,81.38227291,0,356.0484314,274.289252,18442.43454,4683
,22,0.773954649,0.02263663,143.4570594,42.50401854,143.4586791,42.50393985,-8.675325881,-6371.919657,42.31242882,270.0815563,53.47013815,179.9767439,356.9613424,11.72443156,90.05307217,27373.64701,495000,388592.8463,85.21745695,93.05798645,-2.012761986,0.419745099,0.038791025,-0.747764619,0.512988677,14.12596871,3010.908769,2.79649E-15,2.79649E-15,0,8.41997E-12,0.215794117,72.78969966,72.78969966,0,0,0,-7.753570029,-7.71356681,-14.55261437,2.603479727,-0.201066624,-0.665972419,27373.64701,-0.441622239,20.38382708,0.003924353,85.27472741,0,374.0784592,288.360952,18281.16952,4683
,23,0.848643246,0.029304029,143.4571405,42.50401292,143.4591996,42.50390688,-8.56768514,-6371.874626,42.31244528,270.1015131,53.44940539,179.9752683,359.092872,12.35921347,90.06989612,27212.38199,495000,389548.1046,84.55557753,93.34875135,-1.726211713,0.415378496,0.041744101,-0.750191971,0.512767141,14.23656397,3362.926051,1.05457E-14,1.05457E-14,0,3.54646E-11,0.229090816,77.20855622,77.20855622,0,0,0,-7.75112767,-7.711086313,-14.55131243,2.885861009,-0.165870392,-0.644129083,27212.38199,-0.515787085,22.43243027,0.003924353,89.15606443,0,392.2150209,302.5420118,18119.9045,4683
,24,0.927703254,0.037318829,143.457238,42.50400616,143.4598273,42.50386647,-8.452970328,-6371.822987,42.31247052,270.1243633,53.42484967,179.9737384,361.4640871,12.99479722,90.08930458,27051.11697,495000,390551.6707,83.84715821,93.59208745,-1.487247269,0.410691031,0.044900968,-0.75276106,0.51251104,14.34964771,3741.160393,7.49576E-15,5.6024E-15,-4.97991E-15,2.80428E-11,0.24278879,81.75066873,81.75066873,0,0,0,-7.748545075,-7.708460569,-14.5499337,3.18413603,-0.128616103,-0.621001698,27051.11697,-0.598943871,24.587336,0.003924353,93.02437191,0,410.4593828,316.8349095,17958.63947,4683
